iceoff_year	iceoff_julian
1693	140
1694	135
1695	156
1696	147
1697	146
1698	129
1699	142
1700	127
1701	150
1702	140
1703	127
1704	141
1705	152
1706	131
1707	134
1708	149
1709	137
1710	143
1711	134
1712	137
1713	150
1714	147
1715	137
1716	137
1717	140
1718	149
1719	140
1720	135
1721	144
1722	146
1723	136
1724	146
1725	139
1726	133
1727	136
1728	149
1729	145
1730	133
1731	152
1732	146
1733	143
1734	138
1735	133
1736	132
1737	141
1738	146
1739	147
1740	153
1741	145
1742	148
1743	138
1744	130
1745	134
1746	140
1747	140
1748	139
1749	138
1750	122
1751	125
1752	127
1753	137
1754	127
1755	137
1756	148
1757	121
1758	136
1759	140
1760	142
1761	132
1762	134
1763	142
1764	147
1765	145
1766	139
1767	138
1768	138
1769	142
1770	122
1771	140
1772	148
1773	121
1774	125
1775	144
1776	138
1777	129
1778	127
1779	134
1780	147
1781	138
1782	137
1783	137
1784	137
1785	143
1786	141
1787	137
1788	140
1789	138
1790	140
1791	144
1792	135
1793	128
1794	132
1795	144
1796	136
1797	138
1798	130
1799	135
1800	141
1801	129
1802	143
1803	123
1804	125
1805	135
1806	134
1807	153
1808	142
1809	137
1810	154
1811	142
1812	145
1813	142
1814	148
1815	137
1816	148
1817	139
1818	135
1819	138
1820	141
1821	131
1822	124
1823	143
1824	133
1825	135
1826	131
1827	132
1828	129
1829	131
1830	140
1831	136
1832	125
1833	133
1834	133
1835	147
1836	131
1837	123
1838	139
1839	134
1840	130
1841	128
1842	132
1843	143
1844	129
1845	141
1846	141
1847	142
1848	126
1849	140
1850	135
1851	139
1852	136
1853	135
1854	133
1855	136
1856	142
1857	135
1858	131
1859	141
1860	133
1861	143
1862	133
1863	132
1864	137
1865	136
1866	145
1867	160
1868	132
1869	135
1870	125
1871	141
1872	130
1873	138
1874	140
1875	134
1876	145
1877	134
1878	140
1879	144
1880	131
1881	144
1882	130
1883	130
1884	145
1885	141
1886	131
1887	129
1888	138
1889	129
1890	123
1891	134
1892	138
1893	135
1894	120
1895	126
1896	133
1897	123
1898	133
1899	147
1900	144
1901	131
1902	139
1903	133
1904	122
1905	128
1906	126
1907	129
1908	138
1909	146
1910	125
1911	128
1912	132
1913	124
1914	127
1915	129
1916	130
1917	142
1918	134
1919	130
1920	127
1921	117
1922	127
1923	140
1924	135
1925	129
1926	132
1927	138
1928	128
1929	137
1930	125
1931	125
1932	131
1933	130
1934	128
1935	140
1936	126
1937	117
1938	126
1939	135
1940	131
1941	140
1942	137
1943	127
1944	137
1945	123
1946	125
1947	124
1948	122
1949	124
1950	118
1951	130
1952	127
1953	121
1954	129
1955	138
1956	135
1957	133
1958	140
1959	123
1960	125
1961	134
1962	128
1963	127
1964	132
1965	124
1966	136
1967	132
1968	138
1969	135
1970	131
1971	133
1972	128
1973	133
1974	127
1975	126
1976	131
1977	135
1978	136
1979	131
1980	124
1981	135
1982	128
1983	119
1984	123
1985	136
1986	123
1987	133
1988	129
1989	120
1990	119
1991	121
1992	129
1993	126
1994	123
1995	133
1996	143
1997	136
1998	124
1999	129
2000	134
2001	124
2002	117
2003	126
2004	125
2005	126
2006	121
2007	122
2008	123
2009	122
2010	124
2011	118
2012	130
2013	124
