Year	No Ice	DOY_no missing
1897	0	-6
1898	0	17
1899	0	8
1900	0	18
1901	0	-1
1902	0	14
1903	0	-10
1904	0	-7
1905	0	15
1906	0	-2
1907	0	-8
1908	0	1
1909	0	-5
1910	0	2
1911	0	3
1912	0	1
1913	0	7
1914	0	9
1915	1	41
1916	0	7
1917	0	-9
1918	0	5
1919	0	25
1920	0	7
1921	0	4
1922	0	-12
1923	0	23
1924	0	14
1925	0	2
1926	0	-6
1927	0	3
1928	0	-1
1929	0	8
1930	0	10
1931	1	41
1932	0	13
1933	0	5
1934	0	37
1935	0	-11
1936	0	12
1937	0	3
1938	0	3
1939	0	16
1940	0	32
1941	0	19
1942	0	5
1943	0	8
1944	0	2
1945	0	-5
1946	0	3
1947	0	-12
1948	1	41
1949	0	11
1950	0	-3
1951	0	12
1952	0	4
1953	0	24
1954	0	3
1955	0	12
1956	0	-7
1957	0	24
1958	0	14
1959	0	24
1960	0	12
1961	1	41
1962	0	12
1963	0	36
1964	0	14
1965	0	2
1966	0	-4
1967	0	-7
1968	0	8
1969	0	-11
1970	0	5
1971	1	41
1972	0	15
1973	0	-7
1974	0	13
1975	0	12
1976	0	-2
1977	0	22
1978	1	41
1979	0	18
1980	0	-1
1981	0	17
1982	0	23
1983	0	5
1984	0	5
1985	0	6
1986	1	41
1987	0	41
1988	1	41
1989	0	25
1990	0	23
1991	1	41
1992	1	41
1993	1	41
1994	1	41
1995	0	11
1996	0	22
1997	0	10
1998	0	11
1999	1	41
2000	0	15
2001	1	41
2002	0	5
2003	0	14
2004	1	41
